prompt,completion
sestina of the missile jfk,"
You skitter mad,

 Jack,

 misguided ballistic

 with a lazy left eye and your high-pitched

 whine of a fuselage dripping

 coolant immediately crystalline to leave your flicker-

  

 trail in the stratosphere. We watch you flicker

 by again across our televisions tonight, nomad-

 ic the way we could never be boxing up our palace of refrigerated paint-drips.

 Here on the couch we commune with you, Jack,

 you blockhead, in thinking there is more than adamantine space garbage in the pitch-

 black, and going ballistic

  

 among the weird, ancient, stars and ballistic

 vibrations of the kinds of true science we flick

 through at breakfast, in magazines, trying to figure the evolutionary origin of teeth. Pitch

 us another perfect white orb, drive us just mad

 enough for the American past-time of jack-

 hammering detritus and patenting the feeling like the flotsam-feeders we are, dripping

  

 with pride like the crackle-pop of your cassette tape voice box which, yet unfinished, drips

 school glue at the slightest oscillation. Perhaps, then, it is for the best that the intercontinental ballistic

 missiles went unfired, although they were undeniably shaped like lightning bolts, you genius, jack-

 booted thug. One flick

 of a switch would have made uranium boom towns of all our vacant lots and cataclysmic mad-

 houses for our traveling salesmen pitching

  

 themselves asunder, who now, door-to-door, sing slightly off-pitch

 and only of you. And so drippily

 we venerate the one who, barreling upward, kept us safe, like the one who made

 glow-in-the-dark, the one who made stars. And so though the ballistic

 reports came back conclusive the thought might have flickered

 quietly across the Midwest like the seconds before snow that you would come back, Jack.

  

 Jack,

 our idiot savior, for whom we flock to where cities fall dark as pitch,

 where constellations flicker

 most conspiratorial. Come morning, we will read the greatest story ever told on cereal boxes, dripping

 milk from our chins because *ballistic*

 means moving under the force of gravity only. You skitter mad,

  

 Jack, throw us a wink. Drip

 us another pitch, plans for a new kind of ballistic

 to a new shape of moon, and we will flicker to you, madly.

"
the natural,"
The natural street-musician will follow you once  
you have dropped a coin into the hat. Because  
the cloying mountain of minds  
  
presses in, because of frailty.  
Because the airy mind is frail. The street-musician  
says, ""Examine your pride,  
examine yourself—I am not the government.""  
  
You say, ""To my mind, I have not gone enough   
to concerts, to enough bars to enough  
of those corners necessary to shake  
the follow and the following.""  
  
""The mind and the air  
need each other,"" he counters,  
""as governance slides from stone  
to brick. Look outside—idylls and fanfares  
  
have blended into a bath-warm middle—you  
are being followed and, I suspect, learning  
about how the mind of an entertainer  
functions. That that hive  
is no government of stone.""

"
seascapes from time exposed,"
water hangs low,  
rarely falls.  
here, our trees and hands  
fall victim to it,  
vouchsafed by it.  
victims, because it erases  
cicadas’ footprints  
and the army ants’ prey.  
peculiar though, this erasure—  
with wider aperture  
humidity lifts and stays,  
footprints are removed  
and yet remain overhead  
in extended exposure.  
a suspension—  
retaining multitudes  
that ought to slide  
like moments off the hands  
you live through.  
seize this history  
in salt and landscape’s  
italic interstice: hold.

"
locus,"
This collection of torches convulsing in ink: 

 it is not what I wanted to give you.

 All whites look older at night and yet 

 the tapestry has to include them… 

 I wanted you to sip this one swatch of light

 that stands singly, and 

 the tan peasant wind that catches and fans  

 the thin milk of its undergarment, and 

 how morning blood un-hasps 

 the hatches behind sleep’s cogs, flooding

 and the blasted furnace that risks ecstasis 

 according to…* Is this truly the color of my hands?* 

 I wanted to give you the searing first glance

 again, wanted you to grab and fold

 into that one swatch of cloth 

 and stay and raise your hands 

 and your children’s hands later when  

 I melt into cadenza and we waft hoarsily past these

 pinewood rafters, records of starlings—then

 till chance is at last served raw to stirring gods,

 till I can’t name the scent of any ripeness

 and no longer know what cool water means,

 I will needle my eyes into  

 the position of afterstars. I will make 

 light trip and sift off sandstone in  

 the quarries. We have witnessed

 too many rutilant past tenses.  

 Now I shall be the saver of pauses.

 We will need breath later.

 We erred. Sky should be easier.  

 I thought this would be different, this looking up. 

 I thought there would be a granary.

"
born drops of water of,"
born: drops, of water, of

 sliding, of walled air

 deciding *through,*

 * *

 *through*: the bough

 bows its gem-pimpled palm:

  

 yielding, desertion, one

 gesture, a fresco, the

  

 three lives (chaos

 clear flight and chaos) speak

  

 *nothing*; *rustle*;

 *nothing*: the hand

 behind’s a master’s: look,

  

 varnish in-

 -visible, doorholding

 air

"
your horoscope,"
Be brave today, thing made of flesh as you decay.

  

 Be kind and try

 to spend less money.  Try

 to avoid

 conflict with a Pisces

  

 in a parking lot

 at night.

  

 He might have a knife.

  

 Or, if you are not the type

 to find yourself arguing in a parking lot at night, try

 not to complain to the neighbors

  

 about the noise, for

 you may need those neighbors

 when the water heater explodes.  They

  

 may arrive with towels

 and buckets in your basement, just

  

 as you may find yourself

 on their front porch, bearing

 death’s casserole one warm morning in July, after

  

 the unthinkable.

 The Pisces.

 The parking lot. Their

  

 beautiful teenage boy, who

  

 even as a baby

 seemed afraid of nothing, listened

 to music too loud

  

 and to no advice.

  

 A whole

 sky full of stars

 reflected in his eyes

  

 as on the cool blank edge of a knife.

"
canonical,"

The party was impenetrably  
loud and in motion.  

A while later, the rooms thinned.  
It started to snow. A train  

roared past like a redaction.  
The great writer played his stereo low,  

and I sat on the couch  
between two aging professors  

and pretended to know who he was playing.  
It became clear to me  

he was as weak and terrified as anyone.  
When it was just the two of us,  

he took down some brandy  
and offered the spare room. Now wind  

drags over this house  
he must have left while I was sleeping—  

where I’ve woken to find myself alone  
with all his things.  
"
aquamanile in the form of phyllis and aristotle,"
     
Consider also desired  
things. The currant  
in the navel under  
my long robe.  
  
A split in the lip  
 yields its hard red ball   
the one in the tip  
of a pen and as sore.   
Rough and parted.  
  
Coccyx pressing  
spine in sidesaddle  
I span head to tail  
scratching circles  
on the scalp to roil.  
  
A small machine  
a sphere in the corner  
of the room  
makes noise’s noise.  
Swamps the sticking  
swish of release.  
Is knowing.

   
You are here   
to carry—pour. 

   "
thing and all,"
I don’t exactly think I will.  
I don’t exactly wish I don’t.  
The science is inexact, and don’t  
Think it won’t splice you  
As you swish by  
On your two-stroke motor  
Scooter with your bright visor  
Held aloft for all to topple.  
Your orbit is unseeming.  
It takes you in, like a market  
Spilling futures  
On the livestock you are  
On the soybeans you aspire to  
And the husks and straws  
Baking your energy  
Into meticulous kitty litter crypto 
Currency in the metabolic  
Cycle you were born for:  
Come and see yourself  
By and by, baby-naked and  
Time-begrimed  
In your coin-op space scope.  
Its azimuth is lacking  
Its optics are exacting  
And can smother  
Grainy eggs of the tiniest  
Horned reptile  
Secreted in the stream bed  
You once took to.  
It might feel like something  
To feel something capturing you 
In milled mirroring lenses  
As you are and would be  
But that self-love is  
Nostalgia.
"
ansatz confronting a still life,"
I. 

  

 Will I eat the rotting apple before me. 

 Is that why you left it, inclining toward 

  

 the blank-faced compass, oblique to 

 the violin missing a string in spilled 

  

 wine from the overturned chalice, 

 pooling at the chipped carapace 

  

 of a turtle. And whose skull is that, 

 also chipped, also slow on the cloth. 

  

 II. 

  

 Am I obliged of this cluster to pluck

 the fragile ones. Just as in the anatomy 

  

 of woman every station must have

 its briny tubes. Just as in the anatomy

  

 of choice every action need not have will 

 behind it which is to say choice does not 

  

 in the penumbra of utility 

 reveal preference. 

  

 III. 

  

 But I want to engage. Want to tell 

 you all I have learned about will 

  

 in the intervening years.

 If I peel the apple I can soak it in 

  

 vinegar, carve out a face and 

 leave it to dry in the sun. 

  

 Let it shrink into a head 

 swathed in the tablecloth

  

 shrouded in shouldness. 

 Perhaps it will remind me 

  

 of normativity. Or of

 the grace with which we used 

  

 to put one foot in front of the other 

 to walk or of the inertia that has since 

  

 filled in the roads around us. 

 Reminders, remainders, remedies— 

  

 have I solved your tangram, 

 did I play the right game, 

  

 my scarecrow is small but vain

  as I am—void, pour, *drain*—

  

 the difference is its flesh, 

 which is now preserved— 

  

 my scarecrow will remain

 on this table in this foyer 

  

 until you move it, which know- 

 ing you will be when you tear up

  

 a letter you believe you never 

 received. I will believe the same. 

"
